date,v
1952/8/6,258.37
1952/8/7,258.73
1952/8/8,261.64
1952/8/11,262.57
1952/8/12,262.63
1952/8/13,260.89
1952/8/14,259.7
1952/8/15,259.67
1952/8/18,260.07
1952/8/19,258.85
1952/8/20,258.31
1952/8/21,260.04
1952/8/22,258.41
1952/8/25,250.48
1952/8/26,251.65
1952/8/27,252.92
1952/8/28,256.91
1952/8/29,254.02
1952/9/1,254.38
1952/9/2,255.85
1952/9/3,255.99
1952/9/4,255.88
1952/9/5,257.84
1952/9/8,255.97
1952/9/9,256.7
1952/9/10,256.46
1952/9/11,256.22
1952/9/12,258.35
1952/9/15,258.6
1952/9/16,259.19
1952/9/17,258.74
1952/9/18,260.17
1952/9/19,260.12
1952/9/22,263.63
1952/9/24,260.96
1952/9/25,260.03
1952/9/26,264.47
1952/9/29,265.97
1952/9/30,268.9
1952/10/1,271.49
1952/10/2,271.91
1952/10/3,270.33
1952/10/6,275.7
1952/10/7,280.33
1952/10/8,283.29
1952/10/9,287.58
1952/10/10,287.66
1952/10/13,289.99
1952/10/14,288.41
1952/10/15,294.29
1952/10/16,297.54
1952/10/17,302.73
1952/10/20,305.73
1952/10/21,301.76
1952/10/22,307.45
1952/10/23,311.14
1952/10/24,313.21
1952/10/27,321.39
1952/10/28,318.11
1952/10/29,320.2
1952/10/30,317.61
1952/10/31,313.23
1952/11/4,321.23
1952/11/5,323.21
1952/11/6,321.6
1952/11/7,322.8
1952/11/10,326.48
1952/11/11,329.42
1952/11/12,334.54
1952/11/13,333.23
1952/11/14,332.82
1952/11/17,333.48
1952/11/18,335.52
1952/11/19,341.19
1952/11/20,344.76
1952/11/21,349.11
1952/11/24,352.09
1952/11/25,349.8
1952/11/26,343.16
1952/11/27,350.06
1952/11/28,351.45
1952/12/1,348.95
1952/12/2,347.19
1952/12/3,343.72
1952/12/4,340.33
1952/12/5,343.6
1952/12/8,352.68
1952/12/9,353.81
1952/12/10,355.78
1952/12/11,358.13
1952/12/12,363.29
1952/12/15,370.55
1952/12/16,363.81
1952/12/17,364.85
1952/12/18,363.77
1952/12/19,362.05
1952/12/22,356.37
1952/12/23,354.31
1952/12/24,355.28
1952/12/25,363.52
1952/12/26,363.91
1953/1/5,364.89
1953/1/6,367.38
1953/1/7,369.66
1953/1/8,378.84
1953/1/9,379.23
1953/1/12,392.34
1953/1/13,400.95
1953/1/14,405.74
1953/1/16,410.28
1953/1/19,424.96
1953/1/20,421.92
1953/1/21,423.77
1953/1/22,429.66
1953/1/23,439.57
1953/1/26,445.38
1953/1/27,435.28
1953/1/28,439.87
1953/1/29,446.59
1953/1/30,452.04
1953/2/2,455.97
1953/2/3,467.92
1953/2/4,474.43
1953/2/5,471.74
1953/2/6,466.43
1953/2/10,461.88
1953/2/11,443.13
1953/2/12,425.92
1953/2/13,409.42
1953/2/16,426.59
1953/2/17,433.86
1953/2/18,426.4
1953/2/19,418.2
1953/2/20,421.12
1953/2/23,426
1953/2/24,419.11
1953/2/25,415.49
1953/2/26,411.06
1953/2/27,400.11
1953/3/2,393.14
1953/3/3,384.95
1953/3/4,378.22
1953/3/5,340.41
1953/3/6,361.88
1953/3/9,374.14
1953/3/10,375.05
1953/3/11,371.36
1953/3/12,367.44
1953/3/13,369.47
1953/3/16,355.29
1953/3/17,355.5
1953/3/18,357.78
1953/3/19,365.41
1953/3/20,370.14
1953/3/23,366.82
1953/3/24,361
1953/3/25,352.35
1953/3/26,350.33
1953/3/27,348.43
1953/3/30,318.96
1953/3/31,307.05
1953/4/1,295.18
1953/4/2,304.02
1953/4/3,314.52
1953/4/6,317.6
1953/4/7,315.5
1953/4/8,313.87
1953/4/9,320.3
1953/4/10,318.33
1953/4/13,316.45
1953/4/14,320.04
1953/4/15,333.65
1953/4/16,355.03
1953/4/17,349.85
1953/4/20,345.12
1953/4/21,339.66
1953/4/22,335.97
1953/4/23,335.72
1953/4/24,334.89
1953/4/27,338.25
1953/4/28,342.19
1953/4/30,339.37
1953/5/1,345.29
1953/5/4,355.94
