ok	ng
-0.773143438	-0.1865039
-0.308579179	-0.444218379
-0.0339098	-0.695150899
0.2373686	-1.010512038
0.542556799	-1.363173957
1.003730078	-1.692099017
1.461512377	-1.953204476
1.820956256	-2.231264836
2.204136996	-2.505934215
2.848423194	-2.678874195
3.567310953	-2.706002035
4.187860292	-2.665310275
4.659206511	-2.773821634
5.23228213	-3.017972194
5.805357748	-3.095964734
6.171583588	-3.011190234
6.368260427	-2.855205154
6.297049847	-2.644964395
6.039335368	-2.370295015
5.690064429	-2.058324856
5.22550017	-1.783655476
4.520176331	-1.678535097
3.570701933	-1.634452357
2.495761275	-1.570023737
1.298745337	-1.498813157
0.04747372	-1.637843337
-1.271617497	-2.031197016
-2.604272635	-2.434723635
-3.821634452	-2.817904374
-4.79145473	-3.258731773
-5.445913869	-3.719905053
-5.920651068	-4.289589691
-6.151237708	-4.659206511
-6.158019668	-4.87283825
-5.846049508	-5.01525941
-5.15768057	-4.99152255
-4.367582231	-4.706680231
-3.431671753	-4.130213632
-2.363513055	-3.374025093
-1.057985758	-2.563580875
0.315361139	-1.729399797
1.461512377	-0.837572058
2.383858935	-0.03730078
3.201085114	0.586639539
4.001356392	0.905391658
4.75415395	1.041030858
5.15428959	0.888436758
5.20515429	0.491692099
5.01525941	-0.20006782
4.87283825	-1.044421838
4.679552391	-2.024415056
4.435401831	-3.028145134
4.181078332	-4.028484232
3.875890132	-4.79484571
3.462190573	-5.405222109
3.034927094	-5.761275008
2.533062055	-5.730756189
2.139708376	-5.361139369
1.888775856	-4.621905731
1.712444897	-3.675822313
1.522550017	-2.699220075
1.373346897	-1.739572737
1.247880638	-0.779925398
1.125805358	0.328925059
1.129196338	1.203797898
1.213970838	1.804001356
1.275008477	2.255001695
1.407256697	2.444896575
1.651407257	2.478806375
2.014242116	2.271956595
2.424550695	1.926076636
2.845032214	1.529331977
3.319769413	1.224143778
3.726687013	0.905391658
4.218379112	0.586639539
4.459138691	0.362834859
4.442183791	0.22380468
4.225161072	0.21024076
3.981010512	0.301797219
3.563919973	0.356052899
2.994235334	0.454391319
2.305866395	0.515428959
1.464903357	0.373007799
0.583248559	0.14920312
-0.464564259	-0.09494744
-1.614106477	-0.467955239
-2.760257714	-0.976602238
-3.675822313	-1.573414717
-4.445574771	-2.146490336
-5.07290607	-2.563580875
-5.476432689	-2.909460834
-5.588335029	-3.248558834
-5.452695829	-3.485927433
-4.97795863	-3.499491353
-4.364191251	-3.180739234
-3.662258393	-2.739911835
-2.919633774	-2.207527976
-1.980332316	-1.522550017
-1.047812818	-0.712105799
-0.15937606	-0.06103764
0.512037979	0.420481519
1.051203798	0.807053238
1.451339437	1.074940658
1.719226857	1.180061038
1.685317057	0.979993218
1.295354357	0.447609359
0.813835198	-0.362834859
0.284842319	-1.291963377
-0.288233299	-2.363513055
-1.024075958	-3.624957613
-1.756527636	-4.75754493
-2.394031875	-5.679891489
-2.800949474	-6.429298067
-3.163784334	-6.897253306
-3.445235673	-7.090539166
-3.706341133	-6.961681926
-3.848762292	-6.402170227
-3.916581892	-5.442522889
-3.899626992	-4.130213632
-3.696168193	-2.461851475
-3.448626653	-0.644286199
-3.065445914	1.234316718
-2.502543235	2.956934554
-1.912512716	4.621905731
-1.580196677	6.049508308
-1.363173957	7.185486606
-1.129196338	7.958630044
-0.857917938	8.453713123
-0.779925398	8.609698203
-0.732451679	8.429976263
-0.752797558	7.894201424
-0.746015599	7.076975246
-0.705323839	6.229230248
-0.817226178	5.313665649
-1.010512038	4.184469312
-1.234316718	3.011190234
-1.464903357	2.048151916
